"","Chisq","Df","Pr(>Chisq)","model"
"Cumul_N",4.42173693156749,1,0.0354838987523557,"gs"
"Sdt_DD",5.57209068274505,1,0.0182489589417228,"gs"
"Cumul_N:Sdt_DD",0.00737465731597694,1,0.931565129374118,"gs"
"Cumul_N1",0.264276671140879,1,0.607197130919078,"Chi"
"Sdt_DD1",42.7546751417167,1,6.20534030622471e-11,"Chi"
"Cumul_N:Sdt_DD1",12.720632721878,1,0.000361643394479314,"Chi"
"Cumul_N2",3.47700059741569,1,0.0622274340713064,"betaleaf"
"Sdt_DD2",46.9608044760126,1,7.24206435473955e-12,"betaleaf"
"Cumul_N:Sdt_DD2",10.6564513337721,1,0.00109687639658232,"betaleaf"
"Cumul_N3",0.0238340184625248,1,0.877307992495066,"Nmass"
"Sdt_DD3",6.11761476975164,1,0.0133841279007024,"Nmass"
"Cumul_N:Sdt_DD3",1.11666267134227,1,0.290638203644892,"Nmass"
"Cumul_N4",3.05662042325087,1,0.080408750684494,"Narea"
"Sdt_DD4",0.46849752751538,1,0.493679189337211,"Narea"
"Cumul_N:Sdt_DD4",8.59542454553058,1,0.00337008639158901,"Narea"
"Cumul_N5",1.95810478372833,1,0.161716153534926,"LMA"
"Sdt_DD5",23.421672852311,1,1.3010445602883e-06,"LMA"
"Cumul_N:Sdt_DD5",8.56294333641365,1,0.00343074315336083,"LMA"
"Cumul_N6",7.39285504429154,1,0.00654834653444658,"Vcmax"
"Sdt_DD6",3.12279596255372,1,0.077204207898672,"Vcmax"
"Cumul_N:Sdt_DD6",3.89274659876995,1,0.0484950542165493,"Vcmax"
"Cumul_N7",2.04621219290982,1,0.152585401095631,"Jmax"
"Sdt_DD7",4.74220845281474,1,0.0294312669934125,"Jmax"
"Cumul_N:Sdt_DD7",3.99014179359384,1,0.0457672126190378,"Jmax"
"Cumul_N8",18.2882383172969,1,1.89875879336181e-05,"nrubisco"
"Sdt_DD8",1.1657251457665,1,0.280281352172961,"nrubisco"
"Cumul_N:Sdt_DD8",0.452261617958822,1,0.501262900209858,"nrubisco"
"Cumul_N9",4.45166797123862,1,0.034867175223393,"nbioe"
"Sdt_DD9",2.53045214208745,1,0.111668214536808,"nbioe"
"Cumul_N:Sdt_DD9",0.0650434896708492,1,0.798695099994711,"nbioe"
"Cumul_N10",0.169616792973545,1,0.680452600629233,"nstr"
"Sdt_DD10",10.9737443079925,1,0.00092411851604379,"nstr"
"Cumul_N:Sdt_DD10",0.324835279220241,1,0.568716206580882,"nstr"
"Cumul_N11",29.411555738794,1,5.85276100910175e-08,"WUE"
"Sdt_DD11",3.08617300080177,1,0.0789603126103731,"WUE"
"Cumul_N:Sdt_DD11",8.11984291160995,1,0.00437833525355321,"WUE"
"Cumul_N12",4.2907665351773,1,0.0383198853274729,"PNUE"
"Sdt_DD12",7.95111547494863,1,0.00480577466926993,"PNUE"
"Cumul_N:Sdt_DD12",0.0209289292961605,1,0.884972735257341,"PNUE"
"Cumul_N13",0.629292682011807,1,0.427614881501472,"Anet"
"Sdt_DD13",4.99277663561956,1,0.0254533343122109,"Anet"
"Cumul_N:Sdt_DD13",4.12319025298116,1,0.0422992403615356,"Anet"
